freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	8.1490502E-003	2.8476238E-004
7.4973608E+003	8.1215659E-003	5.2140946E-005
5.6472583E+003	8.1417235E-003	-7.1574599E-005
4.2163496E+003	8.2088253E-003	-1.8834118E-004
3.1610112E+003	8.3062882E-003	-3.1336173E-004
2.3707585E+003	8.3587719E-003	-4.2184215E-004
1.7782927E+003	8.4727909E-003	-5.3691480E-004
1.3337194E+003	8.5590426E-003	-7.2359777E-004
1.0003201E+003	8.7228017E-003	-8.1594114E-004
7.5024042E+002	8.8921040E-003	-8.7694498E-004
5.6233929E+002	9.0521164E-003	-1.0545233E-003
4.2175452E+002	9.3074422E-003	-1.1935977E-003
3.1631586E+002	9.5359068E-003	-1.3231224E-003
2.3720122E+002	9.7206803E-003	-1.4296928E-003
1.7778128E+002	1.0051482E-002	-1.5416963E-003
1.3333597E+002	1.0358698E-002	-1.6376777E-003
1.0003201E+002	1.0622989E-002	-1.7770795E-003
7.5024040E+001	1.0850217E-002	-1.8993019E-003
5.6241817E+001	1.1056378E-002	-2.1089301E-003
4.2172741E+001	1.1494102E-002	-2.3243392E-003
3.1629551E+001	1.1849163E-002	-2.6976375E-003
2.3702974E+001	1.2407907E-002	-3.0665980E-003
1.7796129E+001	1.2960098E-002	-3.4493438E-003
1.3347098E+001	1.3883054E-002	-3.8203008E-003
1.0003201E+001	1.4736727E-002	-3.9333799E-003
7.4975986E+000	1.5748776E-002	-3.7909748E-003
5.6205034E+000	1.6496163E-002	-3.0994541E-003
4.2184129E+000	1.7351225E-002	-3.7357528E-003
3.1603966E+000	1.7802358E-002	-3.2934772E-003
2.3717363E+000	1.8932726E-002	-3.2733313E-003
1.7796129E+000	1.9232500E-002	-3.2115215E-003
1.3341014E+000	1.9741803E-002	-2.9364415E-003
1.0000638E+000	2.1146895E-002	-2.8088035E-003
