freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	8.1273168E-003	2.6348353E-004
7.4973608E+003	8.1054568E-003	1.3513133E-004
5.6472583E+003	8.2010292E-003	-6.3166488E-005
4.2163496E+003	8.2328059E-003	-2.0341911E-004
3.1610112E+003	8.2952259E-003	-3.3025595E-004
2.3707585E+003	8.3331736E-003	-4.1534496E-004
1.7782927E+003	8.4544802E-003	-5.7869148E-004
1.3337194E+003	8.5378401E-003	-6.7477819E-004
1.0003201E+003	8.7273372E-003	-8.2944374E-004
7.5024042E+002	8.8164555E-003	-9.3481730E-004
5.6233929E+002	9.0262042E-003	-1.0661560E-003
4.2175452E+002	9.2657991E-003	-1.1154733E-003
3.1631586E+002	9.4730398E-003	-1.2986839E-003
2.3720122E+002	9.7490661E-003	-1.4027834E-003
1.7778128E+002	9.9758133E-003	-1.5300008E-003
1.3333597E+002	1.0201612E-002	-1.6360419E-003
1.0003201E+002	1.0504705E-002	-1.7300193E-003
7.5024040E+001	1.0771323E-002	-1.8802029E-003
5.6241817E+001	1.1153917E-002	-2.1496471E-003
4.2172741E+001	1.1450510E-002	-2.3505860E-003
3.1629551E+001	1.1880993E-002	-2.6409689E-003
2.3702974E+001	1.2342007E-002	-3.0784477E-003
1.7796129E+001	1.2954314E-002	-3.4055032E-003
1.3347098E+001	1.3845740E-002	-3.7922007E-003
1.0003201E+001	1.4825305E-002	-3.6452455E-003
7.4975986E+000	1.5575185E-002	-4.2630401E-003
5.6205034E+000	1.6262557E-002	-4.1272501E-003
4.2184129E+000	1.7137749E-002	-4.5029493E-003
3.1603966E+000	1.7727386E-002	-3.7735845E-003
2.3717363E+000	1.8555041E-002	-3.8040555E-003
1.7796129E+000	1.9878026E-002	-3.7333106E-003
1.3341014E+000	2.0491615E-002	-3.7505666E-003
1.0000638E+000	2.1689188E-002	-3.7850088E-003
